,churn_risk_score
36178,5
34471,2
26400,4
8940,4
36603,3
26929,4
19962,5
1310,4
12429,3
12928,4
17057,5
2793,3
22355,4
26161,3
20652,5
21817,5
28990,4
12549,5
8194,3
32057,5
5183,2
17010,2
36297,2
14195,3
24693,5
11409,4
24145,3
6559,4
35254,4
5237,1
15763,4
183,3
17190,4
18714,3
1885,4
11908,3
27264,3
23393,4
8988,4
34684,4
27013,5
32135,5
19639,5
6928,3
6167,4
31345,4
1465,4
30473,2
7903,5
33182,3
21953,5
2611,2
24283,5
35069,2
3823,3
10254,3
22315,4
5287,3
217,3
2812,4
22411,3
24728,3
16754,4
19972,5
29835,5
24115,4
20635,3
19571,4
23836,2
9307,3
33620,3
13248,4
6405,5
23543,4
4207,2
5435,5
30111,3
11640,3
15905,5
6468,4
2060,3
34356,1
16022,4
25777,3
2787,1
8497,5
6352,3
26252,1
29543,3
34929,5
27167,4
16438,5
1450,5
11710,3
15707,-1
25762,2
11356,4
32035,3
11873,3
30237,4
25922,4
13425,3
24019,2
36228,5
35108,4
33157,4
27110,4
12175,5
30230,4
33949,4
32804,5
13304,2
15489,5
34375,5
1863,4
6934,3
2840,3
30350,3
28430,4
14056,3
8224,3
34616,3
1912,3
22344,4
22013,3
6788,3
750,5
12259,5
21944,4
27846,4
22580,3
15577,3
27095,4
29479,4
30727,2
4599,1
29723,4
5132,5
30536,5
31623,4
20408,4
20802,4
27370,2
28751,3
8602,2
2279,-1
26903,5
23838,4
17379,5
29347,3
35976,5
35678,5
5801,3
10590,5
13373,5
30242,3
5291,3
17048,5
7600,5
36716,3
15410,2
18456,4
27416,2
20666,3
8206,4
19449,5
12784,5
19562,3
4736,3
16723,2
11264,1
11576,4
33925,3
16644,3
21083,3
22121,5
27408,4
2360,5
6380,5
13364,4
13732,3
7480,3
34119,2
36808,3
17121,5
25836,5
26470,5
9274,3
2675,3
26771,5
30690,3
7187,3
2203,-1
18617,3
11930,5
14409,3
5175,4
32590,4
7178,2
31269,1
11262,1
28343,2
23343,1
9890,4
28758,3
6033,3
13000,3
25040,3
15127,4
20108,3
35893,4
3964,5
472,3
30761,3
7918,3
30938,4
35663,5
35751,5
12197,5
1326,3
3370,3
15294,3
14859,1
31350,4
30860,4
17333,3
31961,4
25754,2
14723,3
5200,3
11370,4
7050,3
12202,4
12459,5
25729,3
21154,5
21458,5
2072,4
1932,3
32556,4
16371,3
28956,2
15789,1
35553,1
34336,5
7309,4
26125,3
5551,2
23856,3
18331,4
8932,3
11507,5
33973,4
29651,5
5879,5
30083,3
33763,4
13776,4
34554,1
4300,3
23590,5
12865,4
3452,2
2585,4
385,4
143,4
14100,4
36595,3
35789,2
973,5
6635,1
35484,4
11199,3
12696,5
6917,3
23178,4
15874,3
20360,2
12788,3
27183,5
17332,3
11485,3
8657,5
35045,5
23091,2
15938,5
15353,1
25264,2
13569,4
17725,4
12222,4
30732,2
3505,-1
21034,5
2671,2
17476,4
29963,1
31206,3
1414,4
3716,1
8562,5
15244,5
4108,5
26829,5
11796,3
30809,5
26526,2
14984,2
18363,3
6064,1
5329,2
21153,5
30413,3
9472,5
19054,4
6490,4
30515,4
5763,5
15590,3
3355,1
28042,5
12653,4
13927,4
5774,5
30694,4
21859,5
165,3
46,3
24183,4
13637,3
30202,4
8854,3
14343,5
33348,3
5138,1
6363,5
12853,2
25528,-1
13865,4
26092,4
36288,4
1727,5
9940,2
31538,3
3592,4
36708,1
14281,4
12615,3
15681,4
26981,2
24325,3
9531,4
26212,3
4511,5
31971,5
9621,4
29800,5
14996,4
26304,2
11148,3
14325,3
26156,5
24702,1
16977,4
6799,4
29607,1
29596,-1
11565,4
1555,5
14229,4
36458,3
33536,4
23608,2
5599,5
19567,4
21874,4
16543,4
18939,3
8311,3
25414,3
33943,3
32595,4
14698,5
21371,4
31684,3
30159,4
12686,4
7630,4
19676,3
25966,3
2398,2
27230,5
21671,5
34481,3
24323,5
11897,5
9997,4
33429,3
27397,3
11275,4
29052,5
4754,4
16222,4
9854,4
6072,3
25659,4
17681,3
20874,4
1376,4
14794,5
7663,1
12620,5
31840,4
31087,4
11634,3
21139,1
24518,5
24993,4
30116,3
10963,-1
32889,5
15785,4
8626,4
33927,4
6264,2
6624,5
33068,3
30071,5
35095,3
4431,3
28199,4
19648,3
9461,3
17623,5
32373,3
19913,5
5064,4
24391,3
8844,2
27961,3
2171,4
18526,4
19214,3
8954,4
24791,1
18302,5
31017,5
32762,4
33086,3
4039,3
21583,2
32311,5
33552,4
24808,3
32405,3
14235,3
30978,4
33442,1
15775,-1
16463,4
14398,1
32938,5
33025,5
14162,3
22723,5
15761,4
32032,5
34660,4
5711,2
20135,5
3269,5
18964,4
26034,3
3024,-1
20328,4
20209,2
32855,3
17097,3
2859,3
35907,3
2032,3
1048,5
11189,4
21366,2
26405,3
21695,3
14830,4
9314,3
6172,4
11155,5
16759,5
22898,3
3126,4
25368,-1
12809,4
1000,5
26776,4
25882,3
3611,-1
27387,4
10321,1
28179,3
24735,4
8166,5
1949,4
25781,5
28549,4
15656,4
19052,4
13185,5
974,5
5019,3
18568,5
16411,3
9064,3
34086,2
13407,5
27251,3
24366,3
6694,4
34788,3
10000,1
11515,5
5502,5
33813,3
7616,4
15258,4
20940,4
6965,1
21192,5
4688,3
7716,3
735,3
32428,4
36275,3
2763,1
34050,3
12570,4
35322,3
17532,5
1049,2
24152,3
